exp,Well,Gluc_mM,rep
1,B2,44.4,a
1,B3,33.2,a
1,B4,22.4,a
1,B5,11.2,a
1,B6,4.4,a
1,B7,0,a
1,C2,44.4,b
1,C3,33.2,b
1,C4,22.4,b
1,C5,11.2,b
1,C6,4.4,b
1,C7,0,b
1,D2,44.4,c
1,D3,33.2,c
1,D4,22.4,c
1,D5,11.2,c
1,D6,4.4,c
1,D7,0,c
1,E2,44.4,d
1,E3,33.2,d
1,E4,22.4,d
1,E5,11.2,d
1,E6,4.4,d
1,E7,0,d
2,B1,0,a
2,B2,15,a
2,B3,10,a
2,B4,5,a
2,B5,2.77,a
2,B6,2,a
2,B7,1,a
2,B8,0,a
2,C1,0,b
2,C2,15,b
2,C3,10,b
2,C4,5,b
2,C5,2.77,b
2,C6,2,b
2,C7,1,b
2,C8,0,b
2,D1,0,c
2,D2,15,c
2,D3,10,c
2,D4,5,c
2,D5,2.77,c
2,D6,2,c
2,D7,1,c
2,D8,0,c
2,E1,0,d
2,E2,15,d
2,E3,10,d
2,E4,5,d
2,E5,2.77,d
2,E6,2,d
2,E7,1,d
2,E8,0,d
